SessionID,StationID,StateID,State,StartTime,EndTime,DurationMinutes,EnergyConsumedKWh,RatePerKWh,Amount,PaymentMethod,SessionStatus
10001,1503,30,Jammu and Kashmir,2026-06-13 18:47:00,2026-06-13 21:44:00,177,75.5,16.23,1225.37,UPI,Completed
10002,1356,12,Kerala,2025-07-13 12:12:00,2025-07-13 12:56:00,44,12.44,13.51,168.06,UPI,Completed
10003,1254,11,Karnataka,2025-07-12 02:00:00,2025-07-12 02:51:00,51,9.04,23.04,208.28,Card,Completed
10004,1265,15,Manipur,2025-11-14 05:11:00,2025-11-14 06:16:00,65,94.51,17.04,1610.45,Wallet,Cancelled
10005,1046,22,Sikkim,2026-03-12 02:29:00,2026-03-12 03:34:00,65,70.12,21.99,1541.94,RFID,Completed
10006,1028,16,Meghalaya,2026-04-07 18:36:00,2026-04-07 21:32:00,176,36.52,23.01,840.33,UPI,Completed
10007,1389,17,Mizoram,2025-06-24 13:26:00,2025-06-24 15:00:00,94,55.42,13.85,767.57,Wallet,Failed
10008,1303,3,Assam,2025-04-03 20:46:00,2025-04-03 23:26:00,160,78.57,23.2,1822.82,UPI,Completed
10009,1097,3,Assam,2025-08-03 17:01:00,2025-08-03 18:39:00,98,77.94,20.28,1580.62,Card,Completed
10010,1217,13,Madhya Pradesh,2026-06-27 20:30:00,2026-06-27 20:53:00,23,13.97,15.27,213.32,Card,Completed
10011,1544,11,Karnataka,2025-10-23 19:23:00,2025-10-23 21:38:00,135,17.6,15.86,279.14,Card,Completed
10012,1599,27,Uttarakhand,2026-01-12 21:40:00,2026-01-12 22:54:00,74,34.26,13.9,476.21,Card,Completed
10013,1596,2,Arunachal Pradesh,2025-04-08 17:21:00,2025-04-08 19:35:00,134,52.83,22.46,1186.56,UPI,Completed
10014,1140,24,Telangana,2025-02-21 14:00:00,2025-02-21 14:45:00,45,43.53,14.35,624.66,RFID,Completed
10015,1104,6,Goa,2026-01-03 11:09:00,2026-01-03 13:03:00,114,17.97,23.7,425.89,RFID,Completed
10016,1013,21,Rajasthan,2025-06-05 20:02:00,2025-06-05 21:50:00,108,8.44,19.38,163.57,RFID,Cancelled
10017,1166,18,Nagaland,2025-06-09 22:34:00,2025-06-10 00:20:00,106,58.32,22.17,1292.95,Card,Completed
10018,1103,27,Uttarakhand,2026-06-27 17:37:00,2026-06-27 20:10:00,153,65.08,19.31,1256.69,Card,Completed
10019,1040,4,Bihar,2026-03-19 20:23:00,2026-03-19 20:50:00,27,40.03,15.76,630.87,Wallet,Completed
10020,1483,25,Tripura,2026-06-10 02:21:00,2026-06-10 03:02:00,41,77.91,15.19,1183.45,Wallet,Completed
10021,1133,2,Arunachal Pradesh,2026-03-05 07:58:00,2026-03-05 08:30:00,32,27.12,18.92,513.11,RFID,Completed
10022,1280,15,Manipur,2026-05-18 15:29:00,2026-05-18 15:55:00,26,74.61,22.5,1678.72,Card,Failed
10023,1598,29,Delhi,2026-05-11 09:08:00,2026-05-11 10:54:00,106,75.65,14.3,1081.8,Wallet,Cancelled
10024,1250,1,Andhra Pradesh,2026-05-27 13:44:00,2026-05-27 15:32:00,108,64.54,19.1,1232.71,Wallet,Completed
10025,1150,12,Kerala,2025-10-25 20:26:00,2025-10-25 22:12:00,106,15.48,19.16,296.6,UPI,Completed
10026,1532,7,Gujarat,2025-02-23 12:48:00,2025-02-23 14:47:00,119,63.09,20.25,1277.57,RFID,Cancelled
10027,1217,13,Madhya Pradesh,2025-05-30 00:41:00,2025-05-30 01:11:00,30,60.07,16.48,989.95,Wallet,Completed
10028,1373,2,Arunachal Pradesh,2025-05-24 02:56:00,2025-05-24 05:24:00,148,62.81,20.16,1266.25,RFID,Completed
10029,1319,11,Karnataka,2025-04-21 02:19:00,2025-04-21 04:03:00,104,76.17,16.49,1256.04,RFID,Failed
10030,1480,13,Madhya Pradesh,2025-01-12 07:32:00,2025-01-12 09:10:00,98,27.57,20.28,559.12,Wallet,Completed
10031,1582,11,Karnataka,2026-03-25 08:15:00,2026-03-25 08:54:00,39,19.54,13.42,262.23,UPI,Completed
10032,1145,29,Delhi,2026-04-16 10:32:00,2026-04-16 12:14:00,102,9.7,15.04,145.89,Wallet,Completed
10033,1518,18,Nagaland,2026-07-04 13:52:00,2026-07-04 15:45:00,113,8.5,19.91,169.24,Wallet,Completed
10034,1563,15,Manipur,2025-07-14 11:07:00,2025-07-14 12:53:00,106,53.02,13.22,700.92,Wallet,Cancelled
10035,1196,23,Tamil Nadu,2025-11-08 06:47:00,2025-11-08 08:08:00,81,94.73,17.11,1620.83,Card,Completed
10036,1026,16,Meghalaya,2025-10-05 14:49:00,2025-10-05 15:27:00,38,79.99,17.45,1395.83,UPI,Completed
10037,1464,5,Chhattisgarh,2026-05-28 18:24:00,2026-05-28 21:13:00,169,71.21,14.54,1035.39,RFID,Completed
10038,1274,1,Andhra Pradesh,2025-07-01 23:43:00,2025-07-02 00:11:00,28,7.7,16.77,129.13,Card,Completed
10039,1026,16,Meghalaya,2026-02-06 02:09:00,2026-02-06 02:36:00,27,78.72,18.57,1461.83,Card,Completed
10040,1462,2,Arunachal Pradesh,2025-10-26 01:43:00,2025-10-26 04:01:00,138,31.33,16.29,510.37,RFID,Completed
10041,1407,21,Rajasthan,2026-02-19 23:25:00,2026-02-20 00:30:00,65,23.11,23.07,533.15,UPI,Completed
10042,1476,29,Delhi,2026-06-21 14:07:00,2026-06-21 14:42:00,35,21.02,21.9,460.34,Card,Cancelled
10043,1447,27,Uttarakhand,2025-12-09 22:57:00,2025-12-10 01:53:00,176,43.06,18.21,784.12,RFID,Completed
10044,1290,1,Andhra Pradesh,2025-01-23 08:15:00,2025-01-23 08:46:00,31,73.7,20.67,1523.38,UPI,Completed
10045,1358,21,Rajasthan,2025-12-21 13:19:00,2025-12-21 15:32:00,133,72.3,17.29,1250.07,UPI,Completed
10046,1377,10,Jharkhand,2025-12-09 00:12:00,2025-12-09 02:29:00,137,93.19,14.71,1370.82,UPI,Completed
10047,1124,6,Goa,2025-03-14 00:20:00,2025-03-14 01:33:00,73,59.13,22.49,1329.83,UPI,Cancelled
10048,1057,28,West Bengal,2025-07-21 10:02:00,2025-07-21 12:29:00,147,89.29,16.54,1476.86,RFID,Completed
10049,1351,5,Chhattisgarh,2025-10-11 02:10:00,2025-10-11 03:11:00,61,21.95,16.21,355.81,RFID,Completed
10050,1365,16,Meghalaya,2026-08-06 19:12:00,2026-08-06 20:41:00,89,25.04,20.61,516.07,Wallet,Completed
10051,1093,2,Arunachal Pradesh,2025-04-04 08:11:00,2025-04-04 10:13:00,122,26.5,12.5,331.25,Wallet,Completed
10052,1062,23,Tamil Nadu,2025-04-05 01:47:00,2025-04-05 04:33:00,166,62.95,18.61,1171.5,Wallet,Completed
10053,1253,24,Telangana,2025-08-14 22:21:00,2025-08-15 00:33:00,132,84.22,23.53,1981.7,Card,Failed
10054,1368,9,Himachal Pradesh,2025-01-26 04:42:00,2025-01-26 06:31:00,109,68.88,23.41,1612.48,UPI,Completed
10055,1133,2,Arunachal Pradesh,2026-04-07 23:55:00,2026-04-08 02:45:00,170,66.13,15.03,993.93,RFID,Completed
10056,1154,8,Haryana,2026-03-15 22:09:00,2026-03-15 23:16:00,67,48.31,19.41,937.7,RFID,Failed
10057,1581,1,Andhra Pradesh,2025-11-29 18:17:00,2025-11-29 20:30:00,133,20.32,19.6,398.27,RFID,Cancelled
10058,1229,27,Uttarakhand,2025-02-20 13:48:00,2025-02-20 14:09:00,21,53.98,18.52,999.71,RFID,Completed
10059,1554,2,Arunachal Pradesh,2026-08-20 10:59:00,2026-08-20 12:55:00,116,62.68,15.72,985.33,UPI,Failed
10060,1559,18,Nagaland,2026-02-21 20:40:00,2026-02-21 21:48:00,68,26.61,18.68,497.07,Card,Completed
10061,1462,2,Arunachal Pradesh,2026-01-14 12:02:00,2026-01-14 13:01:00,59,24.71,17.96,443.79,Card,Completed
10062,1379,1,Andhra Pradesh,2025-08-13 01:46:00,2025-08-13 03:17:00,91,29.39,15.43,453.49,Wallet,Completed
10063,1024,27,Uttarakhand,2026-03-13 23:55:00,2026-03-14 01:16:00,81,11.85,15.29,181.19,Wallet,Completed
10064,1307,27,Uttarakhand,2025-09-01 11:59:00,2025-09-01 14:34:00,155,5.77,12.57,72.53,UPI,Cancelled
10065,1118,15,Manipur,2025-05-06 14:49:00,2025-05-06 15:42:00,53,46.35,23.9,1107.76,UPI,Completed
10066,1089,9,Himachal Pradesh,2026-06-01 07:10:00,2026-06-01 07:33:00,23,6.41,23.21,148.78,RFID,Cancelled
10067,1134,5,Chhattisgarh,2025-03-18 13:14:00,2025-03-18 15:53:00,159,53.4,13.84,739.06,Card,Completed
10068,1586,14,Maharashtra,2025-08-06 20:14:00,2025-08-06 22:56:00,162,44.86,19.19,860.86,RFID,Completed
10069,1369,16,Meghalaya,2026-04-14 06:12:00,2026-04-14 08:21:00,129,50.1,20.24,1014.02,Wallet,Completed
10070,1460,16,Meghalaya,2026-01-23 12:05:00,2026-01-23 13:33:00,88,54.94,21.55,1183.96,RFID,Completed
10071,1288,14,Maharashtra,2025-08-28 23:06:00,2025-08-29 01:17:00,131,33.63,17.42,585.83,Card,Completed
10072,1428,6,Goa,2025-02-08 04:13:00,2025-02-08 06:11:00,118,40.33,15.5,625.12,RFID,Completed
10073,1011,13,Madhya Pradesh,2026-05-10 15:01:00,2026-05-10 17:40:00,159,28.05,13.44,376.99,Wallet,Completed
10074,1084,6,Goa,2026-08-20 00:27:00,2026-08-20 03:17:00,170,45.87,20.81,954.55,Wallet,Completed
10075,1134,5,Chhattisgarh,2026-03-12 17:55:00,2026-03-12 20:33:00,158,35.48,13.52,479.69,RFID,Completed
10076,1013,21,Rajasthan,2026-03-22 04:18:00,2026-03-22 05:24:00,66,68.35,17.91,1224.15,Card,Completed
10077,1526,29,Delhi,2025-04-24 00:56:00,2025-04-24 02:46:00,110,8.81,19.6,172.68,Wallet,Completed
10078,1090,24,Telangana,2025-01-26 00:51:00,2025-01-26 01:48:00,57,20.22,21.3,430.69,Card,Completed
10079,1215,5,Chhattisgarh,2025-05-07 09:00:00,2025-05-07 09:34:00,34,44.12,15.97,704.6,RFID,Completed
10080,1128,11,Karnataka,2026-07-18 16:50:00,2026-07-18 17:20:00,30,55.99,23.49,1315.21,Card,Completed
10081,1584,5,Chhattisgarh,2026-04-11 02:44:00,2026-04-11 05:18:00,154,64.73,16.57,1072.58,UPI,Completed
10082,1132,22,Sikkim,2025-01-02 09:39:00,2025-01-02 10:46:00,67,53.71,12.28,659.56,Card,Completed
10083,1550,2,Arunachal Pradesh,2026-01-11 17:08:00,2026-01-11 18:29:00,81,12.93,22.16,286.53,RFID,Completed
10084,1044,19,Odisha,2025-08-04 03:35:00,2025-08-04 04:36:00,61,61.38,21.54,1322.13,UPI,Completed
10085,1277,2,Arunachal Pradesh,2025-04-05 05:09:00,2025-04-05 06:37:00,88,83.81,21.62,1811.97,RFID,Completed
10086,1548,13,Madhya Pradesh,2026-06-26 10:40:00,2026-06-26 13:38:00,178,28.28,16.09,455.03,RFID,Completed
10087,1096,3,Assam,2026-01-01 17:37:00,2026-01-01 20:16:00,159,84.26,16.77,1413.04,RFID,Completed
