StationID,StateID,State,Region,City,StationName,StationType,TotalChargers,Status,InstallationDate
1001,21,Rajasthan,North,Rajasthan City 6,EV Station 1001,Fleet,12,Active,2025-10-23
1002,11,Karnataka,South,Karnataka City 1,EV Station 1002,Fleet,14,Active,2026-02-08
1003,29,Delhi,North,Delhi City 5,EV Station 1003,Fleet,19,Active,2025-02-10
1004,24,Telangana,South,Telangana City 4,EV Station 1004,Petrol_Pump,12,Active,2025-12-01
1005,1,Andhra Pradesh,South,Andhra City 8,EV Station 1005,Workplace,20,Active,2025-02-16
1006,30,Jammu and Kashmir,North,Jammu City 7,EV Station 1006,Fleet,16,Maintenance,2024-05-07
1007,5,Chhattisgarh,Central,Chhattisgarh City 7,EV Station 1007,Highway,17,Active,2024-05-08
1008,12,Kerala,South,Kerala City 5,EV Station 1008,Workplace,2,Active,2024-04-13
1009,3,Assam,Northeast,Assam City 8,EV Station 1009,Highway,3,Maintenance,2024-01-10
1010,21,Rajasthan,North,Rajasthan City 8,EV Station 1010,Workplace,3,Maintenance,2024-04-21
1011,13,Madhya Pradesh,Central,Madhya City 1,EV Station 1011,Fleet,5,Active,2024-08-21
1012,26,Uttar Pradesh,North,Uttar City 2,EV Station 1012,Fleet,18,Maintenance,2025-02-21
1013,21,Rajasthan,North,Rajasthan City 1,EV Station 1013,Fleet,12,Active,2026-01-04
1014,23,Tamil Nadu,South,Tamil City 6,EV Station 1014,Workplace,6,Inactive,2024-05-11
1015,15,Manipur,Northeast,Manipur City 5,EV Station 1015,Fleet,11,Active,2024-08-14
1016,26,Uttar Pradesh,North,Uttar City 5,EV Station 1016,Petrol_Pump,9,Active,2025-02-08
1017,10,Jharkhand,East,Jharkhand City 6,EV Station 1017,Fleet,14,Active,2024-09-29
1018,23,Tamil Nadu,South,Tamil City 7,EV Station 1018,Fleet,15,Active,2025-12-28
1019,5,Chhattisgarh,Central,Chhattisgarh City 8,EV Station 1019,Highway,5,Active,2026-02-04
1020,24,Telangana,South,Telangana City 2,EV Station 1020,Highway,20,Active,2026-03-27
1021,14,Maharashtra,West,Maharashtra City 3,EV Station 1021,Petrol_Pump,13,Inactive,2024-04-26
1022,4,Bihar,East,Bihar City 8,EV Station 1022,Workplace,17,Active,2024-12-15
1023,23,Tamil Nadu,South,Tamil City 1,EV Station 1023,Public,19,Active,2024-04-22
1024,27,Uttarakhand,North,Uttarakhand City 4,EV Station 1024,Workplace,16,Maintenance,2024-04-27
1025,13,Madhya Pradesh,Central,Madhya City 1,EV Station 1025,Public,7,Active,2025-10-21
1026,16,Meghalaya,Northeast,Meghalaya City 7,EV Station 1026,Workplace,16,Active,2025-07-12
1027,14,Maharashtra,West,Maharashtra City 4,EV Station 1027,Workplace,8,Maintenance,2025-08-24
1028,16,Meghalaya,Northeast,Meghalaya City 5,EV Station 1028,Public,11,Active,2026-02-09
1029,13,Madhya Pradesh,Central,Madhya City 3,EV Station 1029,Public,14,Active,2026-04-28
1030,27,Uttarakhand,North,Uttarakhand City 5,EV Station 1030,Workplace,20,Inactive,2025-06-30
1031,14,Maharashtra,West,Maharashtra City 2,EV Station 1031,Workplace,6,Active,2024-02-18
1032,21,Rajasthan,North,Rajasthan City 2,EV Station 1032,Petrol_Pump,5,Active,2025-08-24
1033,4,Bihar,East,Bihar City 6,EV Station 1033,Highway,4,Active,2026-03-02
1034,25,Tripura,Northeast,Tripura City 4,EV Station 1034,Public,15,Maintenance,2025-06-26
1035,20,Punjab,North,Punjab City 8,EV Station 1035,Public,5,Active,2025-02-11
1036,12,Kerala,South,Kerala City 2,EV Station 1036,Fleet,8,Active,2024-08-07
1037,14,Maharashtra,West,Maharashtra City 8,EV Station 1037,Highway,17,Active,2025-09-09
1038,25,Tripura,Northeast,Tripura City 5,EV Station 1038,Fleet,10,Active,2025-11-26
1039,11,Karnataka,South,Karnataka City 4,EV Station 1039,Highway,12,Maintenance,2025-06-16
1040,4,Bihar,East,Bihar City 2,EV Station 1040,Public,8,Active,2025-09-30
1041,15,Manipur,Northeast,Manipur City 2,EV Station 1041,Workplace,16,Active,2025-03-01
1042,26,Uttar Pradesh,North,Uttar City 4,EV Station 1042,Public,6,Inactive,2024-01-21
1043,18,Nagaland,Northeast,Nagaland City 5,EV Station 1043,Workplace,6,Active,2024-10-31
1044,19,Odisha,East,Odisha City 3,EV Station 1044,Public,13,Maintenance,2025-03-20
1045,9,Himachal Pradesh,North,Himachal City 1,EV Station 1045,Highway,5,Inactive,2024-11-22
1046,22,Sikkim,Northeast,Sikkim City 7,EV Station 1046,Public,18,Active,2025-07-26
1047,29,Delhi,North,Delhi City 2,EV Station 1047,Fleet,12,Maintenance,2025-02-26
1048,22,Sikkim,Northeast,Sikkim City 1,EV Station 1048,Public,3,Active,2025-05-08
1049,6,Goa,West,Goa City 2,EV Station 1049,Public,11,Active,2025-05-31
1050,2,Arunachal Pradesh,Northeast,Arunachal City 6,EV Station 1050,Public,3,Inactive,2024-04-07
1051,16,Meghalaya,Northeast,Meghalaya City 8,EV Station 1051,Workplace,8,Active,2025-08-10
1052,24,Telangana,South,Telangana City 7,EV Station 1052,Fleet,11,Active,2025-12-04
1053,19,Odisha,East,Odisha City 7,EV Station 1053,Public,8,Active,2025-06-15
1054,26,Uttar Pradesh,North,Uttar City 7,EV Station 1054,Fleet,15,Active,2024-08-01
1055,15,Manipur,Northeast,Manipur City 8,EV Station 1055,Petrol_Pump,16,Active,2025-09-19
1056,28,West Bengal,East,West City 6,EV Station 1056,Workplace,10,Active,2024-02-27
1057,28,West Bengal,East,West City 2,EV Station 1057,Public,3,Maintenance,2026-01-29
1058,30,Jammu and Kashmir,North,Jammu City 3,EV Station 1058,Fleet,2,Inactive,2024-08-14
1059,6,Goa,West,Goa City 7,EV Station 1059,Fleet,19,Active,2025-12-09
1060,19,Odisha,East,Odisha City 3,EV Station 1060,Fleet,11,Active,2025-05-22
1061,28,West Bengal,East,West City 1,EV Station 1061,Fleet,6,Active,2024-03-12
1062,23,Tamil Nadu,South,Tamil City 1,EV Station 1062,Highway,11,Active,2025-03-29
1063,12,Kerala,South,Kerala City 2,EV Station 1063,Workplace,14,Active,2024-10-09
1064,18,Nagaland,Northeast,Nagaland City 3,EV Station 1064,Public,2,Active,2025-06-03
1065,5,Chhattisgarh,Central,Chhattisgarh City 8,EV Station 1065,Fleet,17,Active,2024-09-16
1066,30,Jammu and Kashmir,North,Jammu City 6,EV Station 1066,Workplace,10,Active,2024-01-16
1067,1,Andhra Pradesh,South,Andhra City 7,EV Station 1067,Petrol_Pump,14,Active,2024-09-16
1068,28,West Bengal,East,West City 6,EV Station 1068,Highway,6,Maintenance,2024-05-10
1069,1,Andhra Pradesh,South,Andhra City 4,EV Station 1069,Public,3,Inactive,2025-01-16
1070,30,Jammu and Kashmir,North,Jammu City 5,EV Station 1070,Workplace,10,Active,2025-04-30
1071,18,Nagaland,Northeast,Nagaland City 6,EV Station 1071,Workplace,13,Maintenance,2025-01-29
1072,2,Arunachal Pradesh,Northeast,Arunachal City 7,EV Station 1072,Fleet,13,Maintenance,2025-12-25
1073,24,Telangana,South,Telangana City 2,EV Station 1073,Workplace,13,Inactive,2024-10-03
1074,28,West Bengal,East,West City 8,EV Station 1074,Highway,2,Active,2025-11-05
1075,20,Punjab,North,Punjab City 2,EV Station 1075,Public,20,Active,2024-11-09
1076,11,Karnataka,South,Karnataka City 1,EV Station 1076,Public,6,Active,2024-10-15
