RegistrationRecordID,StateID,State,Region,Month,EV_Registrations,Total_Vehicle_Registrations,EV_Penetration_Pct
1,7,Gujarat,West,01-08-2026,1660,36339,4.57
2,8,Haryana,North,01-07-2025,7065,168860,4.18
3,11,Karnataka,South,01-11-2025,44931,1123236,4
4,3,Assam,Northeast,01-02-2025,3233,71124,4.55
5,21,Rajasthan,North,01-01-2025,20569,220069,9.35
6,12,Kerala,South,01-05-2026,42234,399718,10.57
7,10,Jharkhand,East,01-04-2026,989,30258,3.27
8,30,Jammu and Kashmir,North,01-07-2026,2699,29339,9.2
9,25,Tripura,Northeast,01-03-2025,4356,41463,10.51
10,21,Rajasthan,North,01-09-2025,15302,700093,2.19
11,25,Tripura,Northeast,01-02-2026,9233,124840,7.4
12,26,Uttar Pradesh,North,01-02-2025,24283,654786,3.71
13,29,Delhi,North,01-08-2025,41794,283724,14.73
14,4,Bihar,East,01-06-2026,4743,37717,12.58
15,30,Jammu and Kashmir,North,01-06-2025,44373,459635,9.65
16,22,Sikkim,Northeast,01-06-2026,7673,92484,8.3
17,10,Jharkhand,East,01-04-2025,33406,224107,14.91
18,8,Haryana,North,01-02-2026,26651,1012121,2.63
19,8,Haryana,North,01-04-2026,25100,432841,5.8
20,21,Rajasthan,North,01-01-2026,40776,663258,6.15
21,13,Madhya Pradesh,Central,01-01-2025,41574,524419,7.93
22,1,Andhra Pradesh,South,01-12-2025,3495,168246,2.08
23,11,Karnataka,South,01-07-2026,40304,337024,11.96
24,3,Assam,Northeast,01-01-2025,13466,443452,3.04
25,7,Gujarat,West,01-09-2025,23462,168784,13.9
26,12,Kerala,South,01-02-2025,24399,339277,7.19
27,30,Jammu and Kashmir,North,01-05-2025,31618,307622,10.28
28,22,Sikkim,Northeast,01-03-2025,5856,79554,7.36
29,15,Manipur,Northeast,01-02-2026,28066,221848,12.65
30,26,Uttar Pradesh,North,01-02-2026,26246,1022809,2.57
31,15,Manipur,Northeast,01-03-2026,23161,983119,2.36
32,13,Madhya Pradesh,Central,01-07-2026,42323,428116,9.89
33,4,Bihar,East,01-05-2025,41142,393257,10.46
34,15,Manipur,Northeast,01-11-2025,34627,227809,15.2
35,7,Gujarat,West,01-07-2026,23099,153831,15.02
36,13,Madhya Pradesh,Central,01-06-2025,30267,228405,13.25
37,12,Kerala,South,01-08-2026,43741,457982,9.55
38,26,Uttar Pradesh,North,01-07-2025,24576,423005,5.81
39,27,Uttarakhand,North,01-08-2026,10274,489860,2.1
40,8,Haryana,North,01-09-2025,4548,38891,11.69
41,10,Jharkhand,East,01-12-2025,1463,9624,15.2
42,22,Sikkim,Northeast,01-09-2025,40153,259482,15.47
43,30,Jammu and Kashmir,North,01-07-2025,24738,398210,6.21
44,17,Mizoram,Northeast,01-05-2026,27536,175695,15.67
45,28,West Bengal,East,01-05-2025,39423,267897,14.72
46,19,Odisha,East,01-02-2025,22356,252543,8.85
47,6,Goa,West,01-04-2025,33770,470651,7.18
48,17,Mizoram,Northeast,01-06-2025,3127,36427,8.58
49,2,Arunachal Pradesh,Northeast,01-06-2025,24309,255861,9.5
50,16,Meghalaya,Northeast,01-04-2026,25984,632207,4.11
51,27,Uttarakhand,North,01-06-2025,16508,117771,14.02
52,28,West Bengal,East,01-04-2025,7346,61441,11.96
53,19,Odisha,East,01-08-2026,3711,110892,3.35
54,9,Himachal Pradesh,North,01-01-2025,19143,258190,7.41
55,18,Nagaland,Northeast,01-08-2025,38304,334250,11.46
56,25,Tripura,Northeast,01-06-2026,22718,159058,14.28
57,3,Assam,Northeast,01-07-2025,31865,202312,15.75
58,20,Punjab,North,01-05-2026,2849,17864,15.95
59,30,Jammu and Kashmir,North,01-12-2025,21732,148789,14.61
60,27,Uttarakhand,North,01-09-2025,8200,119031,6.89
61,16,Meghalaya,Northeast,01-04-2026,1954,13968,13.99
62,22,Sikkim,Northeast,01-01-2025,12983,93315,13.91
63,17,Mizoram,Northeast,01-08-2025,6339,43478,14.58
64,20,Punjab,North,01-03-2025,3357,22141,15.16
65,25,Tripura,Northeast,01-06-2026,22157,228840,9.68
66,22,Sikkim,Northeast,01-03-2025,29443,245962,11.97
67,1,Andhra Pradesh,South,01-02-2026,26676,592336,4.5
68,24,Telangana,South,01-08-2025,34786,310406,11.21
69,1,Andhra Pradesh,South,01-04-2026,5355,58695,9.12
70,22,Sikkim,Northeast,01-02-2026,15173,96615,15.7
71,19,Odisha,East,01-08-2025,20538,254135,8.08
72,21,Rajasthan,North,01-01-2025,40590,456311,8.9
73,5,Chhattisgarh,Central,01-04-2026,38210,299457,12.76
