SalesRecordID,StateID,State,Region,Month,VehicleSegment,Brand,UnitsSold,AverageVehiclePrice,EstimatedSalesValue
5001,27,Uttarakhand,North,2025-04-01,e-4W,Hyundai,1594,1510927,2408417638
5002,30,Jammu and Kashmir,North,2025-11-01,e-4W,Tata,287,1844337,529324719
5003,26,Uttar Pradesh,North,2026-01-01,e-2W,MG,1087,79927,86880649
5004,30,Jammu and Kashmir,North,2025-05-01,e-2W,TVS,52,76089,3956628
5005,9,Himachal Pradesh,North,2025-12-01,e-4W,BYD,1204,811361,976878644
5006,12,Kerala,South,2026-06-01,e-4W,Hero,1726,1454085,2509750710
5007,11,Karnataka,South,2025-04-01,e-2W,Hero,1239,132320,163944480
5008,25,Tripura,Northeast,2026-04-01,e-Bus,BYD,1722,5295126,9118206972
5009,23,Tamil Nadu,South,2025-05-01,e-4W,TVS,499,777606,388025394
5010,29,Delhi,North,2026-03-01,e-2W,Mahindra,797,150846,120224262
5011,8,Haryana,North,2025-08-01,e-4W,Ather,359,827572,297098348
5012,23,Tamil Nadu,South,2026-04-01,e-3W,TVS,1539,383085,589567815
5013,6,Goa,West,2025-02-01,e-2W,Ather,1451,84308,122330908
5014,24,Telangana,South,2026-05-01,e-2W,Bajaj,31,96299,2985269
5015,23,Tamil Nadu,South,2025-11-01,e-4W,MG,984,2075786,2042573424
5016,27,Uttarakhand,North,2026-07-01,e-2W,Bajaj,1715,156126,267756090
5017,2,Arunachal Pradesh,Northeast,2026-04-01,e-Truck,BYD,923,2547948,2351756004
5018,25,Tripura,Northeast,2026-08-01,e-2W,MG,386,154817,59759362
5019,15,Manipur,Northeast,2025-12-01,e-2W,Hero,1157,139322,161195554
5020,14,Maharashtra,West,2026-02-01,e-4W,TVS,1471,2187552,3217888992
5021,24,Telangana,South,2026-07-01,e-2W,Tata,458,98379,45057582
5022,5,Chhattisgarh,Central,2025-03-01,e-2W,Ola,1526,153111,233647386
5023,16,Meghalaya,Northeast,2026-04-01,e-4W,Hero,704,1528854,1076313216
5024,8,Haryana,North,2025-09-01,e-2W,MG,682,87010,59340820
5025,23,Tamil Nadu,South,2026-03-01,e-2W,Hero,332,91398,30344136
5026,7,Gujarat,West,2026-06-01,e-2W,Hero,366,99320,36351120
5027,8,Haryana,North,2026-04-01,e-2W,Tata,1220,84678,103307160
5028,28,West Bengal,East,2025-09-01,e-2W,Ola,77,144024,11089848
5029,6,Goa,West,2026-01-01,e-2W,Ather,853,99863,85183139
5030,19,Odisha,East,2026-06-01,e-4W,Bajaj,912,1536642,1401417504
5031,13,Madhya Pradesh,Central,2026-05-01,e-Bus,Mahindra,510,7834753,3995724030
5032,23,Tamil Nadu,South,2026-07-01,e-4W,Tata,1225,2184416,2675909600
5033,2,Arunachal Pradesh,Northeast,2026-04-01,e-2W,Bajaj,1482,151441,224435562
5034,16,Meghalaya,Northeast,2025-11-01,e-2W,Ather,1021,117645,120115545
5035,20,Punjab,North,2025-09-01,e-4W,Tata,535,1595596,853643860
5036,16,Meghalaya,Northeast,2026-03-01,e-2W,MG,1112,73332,81545184
5037,29,Delhi,North,2026-01-01,e-2W,Mahindra,1664,85689,142586496
5038,16,Meghalaya,Northeast,2026-02-01,e-2W,BYD,1009,129658,130824922
5039,10,Jharkhand,East,2025-09-01,e-4W,TVS,1173,1634678,1917477294
5040,21,Rajasthan,North,2026-02-01,e-2W,Hyundai,216,156006,33697296
5041,12,Kerala,South,2026-05-01,e-2W,Mahindra,684,73084,49989456
5042,26,Uttar Pradesh,North,2025-03-01,e-3W,Mahindra,905,381682,345422210
5043,30,Jammu and Kashmir,North,2026-03-01,e-Bus,Mahindra,403,3084718,1243141354
5044,23,Tamil Nadu,South,2026-02-01,e-2W,Hyundai,889,101186,89954354
5045,19,Odisha,East,2025-10-01,e-3W,Ola,192,408506,78433152
5046,24,Telangana,South,2026-06-01,e-Truck,Hero,304,6927319,2105904976
5047,19,Odisha,East,2025-02-01,e-2W,TVS,1118,124460,139146280
5048,30,Jammu and Kashmir,North,2025-08-01,e-Bus,Ather,1155,3509260,4053195300
5049,24,Telangana,South,2025-04-01,e-4W,Ola,406,2008166,815315396
5050,7,Gujarat,West,2025-12-01,e-2W,Tata,1166,140474,163792684
5051,3,Assam,Northeast,2026-04-01,e-4W,Tata,243,871277,211720311
5052,28,West Bengal,East,2026-08-01,e-2W,Bajaj,1093,140990,154102070
5053,2,Arunachal Pradesh,Northeast,2025-08-01,e-2W,MG,1299,85581,111169719
5054,30,Jammu and Kashmir,North,2026-03-01,e-2W,Ather,908,93649,85033292
5055,27,Uttarakhand,North,2025-02-01,e-2W,BYD,993,85960,85358280
5056,29,Delhi,North,2025-03-01,e-Bus,TVS,325,6783664,2204690800
5057,2,Arunachal Pradesh,Northeast,2025-04-01,e-3W,BYD,1525,387440,590846000
5058,8,Haryana,North,2025-09-01,e-3W,MG,1740,351349,611347260
5059,23,Tamil Nadu,South,2025-06-01,e-4W,MG,1652,700215,1156755180
5060,27,Uttarakhand,North,2025-11-01,e-4W,MG,180,1514661,272638980
5061,23,Tamil Nadu,South,2026-06-01,e-2W,BYD,1099,147239,161815661
5062,11,Karnataka,South,2025-07-01,e-4W,TVS,996,1620313,1613831748
5063,24,Telangana,South,2026-06-01,e-Truck,MG,1339,2266995,3035506305
5064,11,Karnataka,South,2026-02-01,e-4W,Hyundai,1474,1977623,2915016302
5065,24,Telangana,South,2025-06-01,e-Truck,Bajaj,1737,3607317,6265909629
5066,23,Tamil Nadu,South,2025-03-01,e-2W,Bajaj,1008,155525,156769200
5067,10,Jharkhand,East,2025-02-01,e-4W,TVS,1201,1932630,2321088630
5068,25,Tripura,Northeast,2026-03-01,e-4W,MG,1321,2035186,2688480706
5069,3,Assam,Northeast,2026-06-01,e-2W,Tata,839,130892,109818388
5070,27,Uttarakhand,North,2026-04-01,e-2W,Hero,80,79269,6341520
5071,11,Karnataka,South,2026-05-01,e-4W,Hyundai,554,719782,398759228
5072,14,Maharashtra,West,2026-02-01,e-3W,Bajaj,627,436433,273643491
5073,20,Punjab,North,2025-01-01,e-2W,TVS,520,105897,55066440
5074,23,Tamil Nadu,South,2026-01-01,e-Truck,TVS,1087,3422563,3720325981
5075,27,Uttarakhand,North,2025-05-01,e-2W,TVS,1610,149737,241076570
5076,16,Meghalaya,Northeast,2026-02-01,e-3W,Bajaj,1590,293218,466216620
5077,9,Himachal Pradesh,North,2025-07-01,e-Bus,Hyundai,51,2549768,130038168
5078,6,Goa,West,2025-07-01,e-4W,Hero,1133,1466868,1661961444
5079,19,Odisha,East,2026-03-01,e-2W,MG,1759,88984,156522856
5080,26,Uttar Pradesh,North,2025-02-01,e-2W,Ola,133,142902,19005966
5081,26,Uttar Pradesh,North,2025-01-01,e-4W,Bajaj,556,1048586,583013816
5082,13,Madhya Pradesh,Central,2025-08-01,e-2W,Bajaj,628,101376,63664128
5083,28,West Bengal,East,2025-09-01,e-2W,TVS,1316,123364,162347024
5084,29,Delhi,North,2025-10-01,e-3W,Tata,293,213324,62503932
5085,29,Delhi,North,2025-04-01,e-Truck,BYD,1447,6968206,10082994082
5086,23,Tamil Nadu,South,2026-07-01,e-2W,Tata,557,83016,46239912
5087,18,Nagaland,Northeast,2025-03-01,e-2W,Mahindra,829,70786,58681594
